                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6137,                 2.6056,                 2.1566,                 1.1563,                0.67866,                0.40731,                  0.398,                0.22181,                 0.6703,                0.39248,                0.37914,                0.19046,                 1.5676,                  2.593,                  1.565,                 1.2037,             0.00041512,             0.00041512,             0.00041512
                      2,                 1.5473,                 2.5213,                 1.3851,                 1.1564,                 0.5615,                0.51168,                0.49574,                0.27098,                0.55456,                0.48513,                0.46852,                0.23017,                 1.5161,                 2.5634,                 1.4421,                 1.2111,             0.00082356,             0.00082356,             0.00082356
                      3,                 1.5282,                 2.5033,                 1.3455,                  1.156,                0.55134,                0.50782,                0.49506,                0.27297,                0.53668,                0.48321,                0.46973,                0.23193,                 1.5044,                 2.5761,                 1.4163,                 1.2074,              0.0012237,              0.0012237,              0.0012237
                      4,                 1.5194,                  2.497,                 1.3159,                 1.1503,                0.55445,                0.51148,                0.49794,                0.26977,                0.53669,                0.48693,                0.46906,                0.22737,                 1.5273,                 2.5577,                 1.4243,                 1.2162,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.5162,                 2.4893,                 1.3089,                 1.1499,                0.54278,                0.50792,                0.49238,                0.26937,                0.52534,                0.48181,                0.46237,                0.22591,                 1.5058,                 2.5689,                 1.4047,                 1.2072,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.5052,                 2.4835,                 1.2925,                 1.1464,                0.52775,                0.51455,                0.49194,                0.26386,                0.51583,                0.48692,                0.46422,                 0.2235,                 1.5512,                 2.5782,                 1.4053,                 1.2211,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.5056,                 2.4679,                  1.288,                 1.1414,                0.53991,                0.51113,                0.49343,                0.26627,                0.52268,                0.48283,                0.46253,                0.22406,                 1.5384,                 2.5517,                 1.3985,                 1.2211,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.5011,                 2.4682,                 1.2873,                 1.1406,                0.54942,                0.51673,                0.50404,                0.27415,                0.52968,                 0.4899,                0.47207,                0.23324,                  1.512,                 2.5634,                 1.3926,                 1.2093,              0.0011757,              0.0011757,              0.0011757
                      9,                    1.5,                 2.4633,                 1.2722,                  1.139,                0.53046,                0.51629,                0.49602,                0.27082,                0.51189,                0.48981,                0.46418,                 0.2289,                 1.4981,                 2.5355,                 1.3912,                  1.214,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.4989,                 2.4622,                 1.2778,                 1.1402,                0.54891,                 0.5153,                0.50091,                 0.2751,                0.53012,                0.48868,                0.47051,                0.23143,                 1.5076,                 2.5425,                 1.3834,                 1.2064,               0.001151,               0.001151,               0.001151
                     11,                 1.4999,                 2.4679,                 1.2832,                 1.1403,                0.54801,                 0.5167,                0.50317,                0.27273,                0.52603,                0.49189,                 0.4726,                0.23177,                 1.5243,                  2.565,                 1.3917,                  1.218,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.4966,                 2.4596,                 1.2643,                 1.1327,                0.53757,                0.51743,                0.49707,                0.26702,                0.51393,                0.49013,                0.46293,                 0.2226,                 1.5243,                 2.5487,                 1.3933,                 1.2082,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.4939,                 2.4562,                 1.2703,                 1.1323,                0.54517,                0.51443,                0.50015,                 0.2704,                0.52787,                0.49041,                0.47125,                0.23187,                 1.5281,                 2.5452,                 1.3947,                 1.2141,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.4896,                 2.4503,                 1.2597,                 1.1322,                0.53622,                0.51353,                0.49368,                0.26111,                0.51554,                 0.4865,                0.46104,                0.21936,                 1.5467,                 2.5957,                 1.4005,                 1.2154,              0.0011015,              0.0011015,              0.0011015
                     15,                   1.49,                 2.4519,                 1.2554,                 1.1309,                0.54478,                0.51526,                0.49913,                0.26823,                0.52917,                0.48799,                0.46939,                0.22779,                 1.5507,                 2.5429,                 1.3897,                 1.2108,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.4893,                 2.4484,                 1.2517,                 1.1283,                0.53177,                0.51951,                 0.4981,                0.26667,                 0.5131,                0.49005,                0.46518,                0.22587,                 1.5452,                 2.5503,                 1.3874,                 1.2092,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.4858,                 2.4465,                 1.2516,                  1.128,                0.53606,                0.51628,                 0.4955,                0.26524,                0.51925,                 0.4895,                0.46579,                0.22795,                 1.5369,                 2.5473,                 1.3875,                 1.2123,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.4822,                  2.435,                 1.2446,                 1.1252,                0.53666,                0.51744,                 0.4957,                0.26485,                0.51658,                0.49294,                0.46518,                0.22437,                  1.543,                 2.5563,                 1.3829,                 1.2151,               0.001052,               0.001052,               0.001052
                     19,                 1.4821,                 2.4443,                 1.2436,                 1.1226,                0.54063,                0.51634,                0.49761,                0.26523,                0.52175,                0.49048,                0.46737,                0.22514,                 1.5513,                 2.5515,                 1.3939,                 1.2123,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.4761,                 2.4366,                 1.2483,                 1.1221,                0.53865,                0.51919,                0.49591,                 0.2663,                0.51865,                 0.4943,                0.46671,                 0.2259,                 1.5367,                 2.5497,                 1.3903,                 1.2134,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.4774,                 2.4363,                 1.2392,                 1.1208,                0.53156,                0.51635,                0.49464,                0.27029,                0.51271,                0.49009,                0.46347,                0.22713,                  1.507,                 2.5389,                  1.384,                 1.2016,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.4836,                 2.4376,                 1.2442,                 1.1216,                0.53194,                0.51439,                0.48671,                0.26292,                0.51294,                0.48709,                0.45539,                0.22215,                 1.5284,                 2.5464,                 1.3892,                 1.2068,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.4748,                 2.4321,                 1.2353,                 1.1196,                0.53655,                0.52392,                0.49602,                0.26746,                0.51668,                0.49486,                0.46354,                0.22542,                 1.5155,                 2.5448,                 1.3846,                 1.2021,             0.00099013,             0.00099013,             0.00099013
                     24,                   1.48,                 2.4371,                 1.2369,                 1.1203,                0.53576,                0.52115,                0.49424,                0.26612,                0.51761,                0.49297,                0.46363,                0.22575,                  1.535,                 2.5489,                 1.3862,                 1.2076,             0.00097775,             0.00097775,             0.00097775
                     25,                 1.4739,                 2.4322,                  1.227,                 1.1169,                0.53354,                0.51108,                0.48952,                0.26176,                0.51196,                0.48446,                0.45966,                0.22305,                 1.5449,                 2.5582,                 1.4098,                 1.2169,             0.00096537,             0.00096537,             0.00096537
                     26,                  1.473,                 2.4317,                 1.2373,                 1.1163,                0.53146,                0.51648,                0.49514,                0.26865,                0.51287,                0.49061,                0.46496,                0.22737,                 1.5232,                 2.5525,                 1.3877,                 1.2062,               0.000953,               0.000953,               0.000953
                     27,                 1.4716,                 2.4225,                 1.2294,                 1.1156,                0.52862,                0.51315,                0.48699,                0.25812,                   0.51,                0.48799,                0.45512,                0.21905,                  1.551,                 2.5662,                 1.3889,                 1.2153,             0.00094062,             0.00094062,             0.00094062
                     28,                 1.4726,                 2.4202,                 1.2284,                 1.1155,                0.52805,                0.50933,                0.48878,                0.25991,                0.50924,                0.48593,                0.45761,                0.22084,                 1.5364,                 2.5543,                 1.3937,                 1.2153,             0.00092825,             0.00092825,             0.00092825
                     29,                 1.4695,                 2.4251,                  1.231,                  1.115,                0.53308,                0.51671,                0.49012,                0.26328,                0.51409,                0.49012,                0.45836,                0.22282,                 1.5309,                  2.551,                 1.3894,                 1.2049,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.4633,                  2.415,                 1.2203,                 1.1122,                0.53774,                0.51846,                0.49743,                0.26707,                 0.5198,                 0.4913,                0.46624,                0.22834,                 1.5206,                 2.5382,                 1.3869,                 1.2023,              0.0009035,              0.0009035,              0.0009035
                     31,                 1.4671,                 2.4195,                 1.2223,                 1.1138,                0.53981,                0.51761,                0.49486,                0.26441,                0.51928,                 0.4931,                0.46486,                0.22456,                 1.5488,                 2.5531,                 1.3831,                 1.2148,             0.00089112,             0.00089112,             0.00089112
                     32,                 1.4655,                 2.4153,                 1.2239,                 1.1094,                0.54106,                 0.5112,                0.49228,                0.26116,                0.52039,                0.48829,                0.46219,                0.22226,                 1.5566,                  2.564,                 1.3919,                 1.2145,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.4654,                 2.4132,                 1.2194,                 1.1105,                0.53675,                0.51464,                0.49315,                0.26306,                0.51876,                0.49149,                0.46556,                0.22786,                 1.5456,                  2.542,                 1.3864,                 1.2162,             0.00086637,             0.00086637,             0.00086637
                     34,                 1.4653,                 2.4168,                  1.222,                 1.1105,                0.53594,                0.51582,                0.49544,                0.26536,                0.51789,                0.48863,                0.46323,                0.22491,                 1.5431,                 2.5643,                 1.3871,                 1.2163,               0.000854,               0.000854,               0.000854
                     35,                 1.4681,                 2.4154,                 1.2178,                  1.108,                0.53014,                0.51437,                0.48747,                0.26264,                0.51357,                0.49159,                0.46064,                0.22426,                 1.5445,                 2.5566,                 1.3936,                 1.2053,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.4651,                 2.4157,                 1.2149,                 1.1091,                 0.5394,                0.51957,                0.49814,                0.26414,                0.52346,                0.49127,                 0.4678,                0.22546,                 1.5707,                 2.5816,                 1.3878,                  1.222,             0.00082925,             0.00082925,             0.00082925
                     37,                  1.465,                 2.4211,                 1.2158,                 1.1075,                0.54117,                0.51901,                0.49911,                0.26689,                 0.5227,                0.49463,                0.47089,                 0.2292,                 1.5455,                 2.5469,                 1.3914,                 1.2102,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.4664,                 2.4274,                 1.2209,                 1.1105,                0.54402,                0.52202,                0.49721,                0.26451,                0.52673,                0.49547,                0.46778,                0.22599,                 1.5566,                 2.5623,                 1.3887,                 1.2152,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.4593,                 2.4125,                  1.213,                  1.107,                0.53788,                0.51786,                0.49503,                0.26392,                0.52218,                0.49151,                0.46537,                0.22474,                 1.5534,                 2.5598,                 1.3887,                 1.2132,             0.00079213,             0.00079213,             0.00079213
                     40,                  1.461,                 2.4093,                 1.2098,                 1.1048,                0.53195,                0.51841,                0.49046,                0.26202,                0.51525,                0.48992,                0.46045,                0.22401,                 1.5429,                 2.5503,                 1.3866,                  1.209,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.4611,                 2.4127,                 1.2116,                 1.1038,                0.53435,                0.51136,                0.48936,                0.26095,                0.51407,                0.48474,                0.45871,                0.22146,                 1.5471,                 2.5576,                  1.399,                  1.214,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.4619,                 2.4141,                  1.212,                 1.1059,                   0.53,                0.51071,                0.48551,                0.26017,                0.50951,                0.48297,                0.45296,                0.22108,                 1.5538,                  2.557,                 1.3918,                  1.214,               0.000755,               0.000755,               0.000755
                     43,                 1.4547,                 2.3969,                 1.2081,                 1.1038,                0.54063,                0.51903,                0.49778,                0.26704,                0.52163,                0.49456,                0.46717,                 0.2281,                 1.5454,                 2.5543,                 1.3883,                  1.213,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.4565,                 2.4107,                 1.2095,                 1.1056,                0.52618,                0.51693,                0.48589,                0.25893,                0.50746,                0.49103,                 0.4556,                0.22035,                 1.5472,                 2.5691,                 1.3908,                 1.2115,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.4584,                 2.4069,                 1.2097,                  1.104,                0.53079,                 0.5181,                 0.4885,                0.26014,                0.51587,                 0.4914,                0.45963,                0.22262,                 1.5566,                 2.5524,                 1.3924,                 1.2144,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.4558,                 2.4062,                 1.2031,                  1.103,                0.53485,                0.51842,                0.49139,                0.26182,                0.52038,                0.48872,                0.46167,                0.22348,                  1.558,                 2.5594,                 1.3907,                 1.2167,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.4492,                 2.3992,                 1.1992,                 1.1007,                0.52802,                 0.5142,                0.48755,                0.25845,                 0.5074,                0.48656,                0.45548,                0.21906,                 1.5523,                 2.5543,                 1.3865,                 1.2131,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.4571,                 2.4105,                 1.2075,                 1.1044,                0.53634,                 0.5177,                0.49295,                0.26316,                0.51609,                0.49213,                0.46377,                0.22577,                 1.5429,                  2.544,                 1.3926,                 1.2114,             0.00068075,             0.00068075,             0.00068075
                     49,                  1.454,                 2.4092,                 1.2147,                 1.1042,                0.53051,                0.51873,                0.48797,                0.25979,                 0.5111,                0.49208,                0.45773,                0.22097,                 1.5541,                 2.5528,                 1.3917,                 1.2117,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.4542,                 2.4011,                  1.194,                 1.0982,                0.53156,                0.51471,                0.48805,                0.26046,                0.51276,                0.48921,                0.45917,                0.22235,                 1.5482,                 2.5508,                 1.3952,                  1.212,               0.000656,               0.000656,               0.000656
                     51,                 1.4481,                 2.3965,                 1.1923,                 1.0985,                0.53473,                0.51626,                0.48891,                0.26015,                0.51649,                 0.4897,                0.45811,                0.22034,                 1.5587,                 2.5616,                 1.3941,                  1.216,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.4556,                 2.4058,                 1.1962,                 1.1018,                0.52134,                0.51064,                0.48107,                  0.255,                0.50409,                0.48458,                0.45207,                0.21706,                 1.5527,                 2.5681,                 1.4033,                 1.2167,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.4563,                 2.4058,                 1.2086,                 1.1006,                0.53074,                0.50701,                 0.4845,                0.25633,                0.51221,                 0.4839,                0.45652,                0.22076,                 1.5689,                  2.555,                 1.4008,                 1.2173,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.4528,                 2.4017,                 1.2003,                 1.0993,                0.52257,                0.51938,                 0.4846,                0.25671,                0.50384,                0.49125,                0.45518,                0.21832,                 1.5606,                 2.5656,                 1.3988,                  1.214,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.4432,                 2.3922,                 1.1918,                 1.0959,                0.52576,                0.51493,                0.48569,                 0.2564,                0.50704,                0.48667,                0.45507,                0.21877,                 1.5659,                 2.5697,                 1.3982,                 1.2165,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.4531,                 2.4046,                  1.195,                 1.0973,                0.52742,                0.51683,                0.48771,                0.25903,                0.51184,                 0.4876,                0.45742,                0.22102,                 1.5581,                 2.5662,                 1.3949,                 1.2128,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.4476,                 2.3945,                  1.188,                 1.0957,                0.52594,                0.51827,                0.48735,                0.25604,                0.50871,                0.48705,                0.45578,                0.21723,                 1.5686,                 2.5665,                 1.3946,                 1.2149,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.4474,                 2.3956,                 1.1912,                 1.0966,                0.51837,                0.51231,                0.48096,                0.25478,                0.50073,                0.48528,                0.45033,                0.21632,                 1.5541,                 2.5685,                 1.3948,                 1.2108,               0.000557,               0.000557,               0.000557
